author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Daniel Garrett,1,1,20.64516129032258,0.1935483870967742,0.1935483870967742,0.2580645161290322,0.8387096774193549,7.32258064516129
Chris Schubert,1,1,20.64516129032258,0.1612903225806451,0.2258064516129032,0.2258064516129032,0.8064516129032258,8.419354838709678
Harris Oates,3,3,20.628360215053764,0.13608870967741934,0.2513440860215054,0.19892473118279572,0.7893145161290324,9.931451612903226
Scott Reynolds,1,1,20.625,0.1875,0.1875,0.28125,0.8125,11.375
Alexi Iafrato,1,1,20.625,0.15625,0.21875,0.25,0.78125,7.84375
Jon Witt,1,1,20.625,0.15625,0.21875,0.25,0.875,5.59375
Chase Hammes,1,1,20.625,0.15625,0.15625,0.40625,0.75,10.8125
Ian Valentino,1,1,20.625,0.125,0.1875,0.375,0.8125,7.78125
Joe Marino,2,2,20.46875,0.1875,0.171875,0.3125,0.859375,7.875
Cam Inman,2,2,20.46875,0.171875,0.15625,0.375,0.796875,7.359375
Hayden Winks,4,4,20.44858870967742,0.15725806451612903,0.22026209677419356,0.23588709677419356,0.8503024193548387,6.511088709677419
Glynn Morgan,3,3,20.342741935483872,0.14616935483870966,0.21001344086021503,0.27284946236559143,0.8000672043010754,8.035618279569894
Bill Huber,1,1,20.3125,0.21875,0.1875,0.21875,0.875,11.5
Bryan DeArdo,1,1,20.3125,0.15625,0.1875,0.3125,0.75,10.1875
Henry McKenna,2,2,20.3125,0.15625,0.1875,0.3125,0.734375,14.8125
Hunter Ansley,1,1,20.3125,0.15625,0.1875,0.3125,0.75,8.28125
J.T. Olson,1,1,20.3125,0.15625,0.1875,0.3125,0.8125,9.25
Joe Hopkins,1,1,20.3125,0.125,0.21875,0.28125,0.75,7.75
Andrew Caley,2,2,20.246975806451616,0.17389112903225806,0.20564516129032256,0.2373991935483871,0.8568548387096775,6.608870967741936
Chris Ransom,5,5,20.159274193548388,0.16330645161290322,0.19455645161290322,0.27661290322580645,0.7544354838709678,14.335282258064515
Daniel Harms,1,1,20.0,0.21875,0.15625,0.28125,0.78125,13.0625
Parker Gabriel,1,1,20.0,0.1875,0.1875,0.25,0.78125,10.0625
Adam Aizer,1,1,20.0,0.1612903225806451,0.2258064516129032,0.1935483870967742,0.8387096774193549,7.967741935483871
Barry Wilner,1,1,20.0,0.15625,0.15625,0.375,0.78125,7.46875
Benjamin Solak,1,1,20.0,0.15625,0.15625,0.375,0.8125,6.46875
DraftGeek,1,1,20.0,0.125,0.1875,0.34375,0.71875,8.96875
Spencer Urquhart,1,1,20.0,0.1,0.1,0.6,0.9,9.0
Sean Balzer,3,3,19.91935483870968,0.15725806451612903,0.19892473118279572,0.26276881720430106,0.8629032258064516,8.332325268817204
Dane Brugler,3,3,19.872311827956988,0.15759408602150538,0.18918010752688172,0.28427419354838707,0.8521505376344086,6.272513440860216
Will Brinson,4,4,19.810987903225808,0.16481854838709678,0.19682459677419356,0.25126008064516125,0.7638608870967742,9.422379032258064
Mark Maske,1,1,19.687500000000004,0.125,0.21875,0.25,0.78125,13.40625
Tyler Calvaruso,1,1,19.687500000000004,0.125,0.15625,0.40625,0.75,9.4375
Andrew Wilbar,3,3,19.6875,0.1875,0.19791666666666666,0.20833333333333334,0.7708333333333334,9.791666666666666
Chris McGlynn,2,2,19.6875,0.15625,0.1875,0.28125,0.765625,11.734375
Ryan Schlipp,1,1,19.6875,0.15625,0.1875,0.28125,0.84375,8.5625
Brandon Holtz,1,1,19.67741935483871,0.2258064516129032,0.1290322580645161,0.3225806451612903,0.7741935483870968,8.612903225806452
Ryan Fowler,3,3,19.677419354838708,0.18884408602150538,0.17943548387096775,0.25201612903225806,0.8101478494623656,9.082661290322582
Mitch Vosburg,2,2,19.591733870967744,0.1910282258064516,0.1754032258064516,0.2545362903225806,0.7943548387096775,13.597782258064516
Bob Glauber,2,2,19.53125,0.15625,0.171875,0.3125,0.78125,9.90625
Jason McIntyre,2,2,19.53125,0.125,0.203125,0.28125,0.796875,9.0625
Ryan Mink,1,1,19.375,0.1875,0.1875,0.21875,0.84375,11.15625
Carter Landis,1,1,19.375,0.125,0.1875,0.3125,0.84375,5.65625
Jacob Louque,1,1,19.375,0.125,0.1875,0.3125,0.84375,9.1875
Jonathan Jones,1,1,19.35483870967742,0.1290322580645161,0.1935483870967742,0.2903225806451613,0.8387096774193549,8.774193548387096
Kent Weyrauch,3,3,19.344758064516128,0.14684139784946237,0.1895161290322581,0.27318548387096775,0.8424059139784946,7.450604838709677
Liam Blutman,3,3,19.29771505376344,0.16767473118279572,0.18884408602150538,0.24126344086021503,0.7993951612903226,10.21606182795699
Thor Nystrom,5,5,19.284274193548388,0.1377016129032258,0.20766129032258066,0.238508064516129,0.7985887096774194,9.497580645161289
Mike Mulhern,5,5,19.25,0.15,0.2125,0.20625,0.81875,8.53125
Benjamin Allbright,2,2,19.21875,0.171875,0.1875,0.234375,0.859375,8.796875
