player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Malachi Fields,WR,6,6,6,3.5,3.5,3,4,,,,,5,Las Vegas Raiders,las-vegas-raiders
Max Klare,TE,6,6,6,2.8333333333333335,3.0,2,3,,,,,5,Carolina Panthers,carolina-panthers
Michael Trigg,TE,6,6,6,3.5,3.5,3,4,,,,,6,Cincinnati Bengals,cincinnati-bengals
Rayshaun Benny,DL,6,6,6,3.8333333333333335,3.5,3,5,,,,,6,Green Bay Packers,green-bay-packers
Vincent Anthony Jr.,EDGE,6,6,5,6.333333333333333,6.5,5,7,,,,,5,Jacksonville Jaguars,jacksonville-jaguars
Zane Durant,DL,6,6,6,5.0,5.0,4,6,,,,,6,Arizona Cardinals,arizona-cardinals
Antonio Williams,WR,5,5,4,2.8,3.0,2,3,,,,,5,Denver Broncos,denver-broncos
Arvell Reese,LB,5,5,5,1.0,1.0,1,1,,,,,2,New York Jets,new-york-jets
Austin Barber,OT,5,5,5,4.0,4.0,3,5,,,,,4,Green Bay Packers,green-bay-packers
Brian Parker II,OT,5,5,5,3.8,4.0,3,4,,,,,4,Philadelphia Eagles,philadelphia-eagles
Caleb Tiernan,OT,5,5,5,2.6,3.0,2,3,,,,,5,Cincinnati Bengals,cincinnati-bengals
Dani Dennis-Sutton,EDGE,5,5,5,3.0,3.0,2,4,,,,,4,Green Bay Packers,green-bay-packers
Drew Allar,QB,5,5,5,4.4,4.0,4,5,,,,,5,Arizona Cardinals,arizona-cardinals
Eli Heidenreich,WR,5,5,5,6.4,6.0,6,7,,,,,5,Cincinnati Bengals,cincinnati-bengals
Germie Bernard,WR,5,5,4,2.0,2.0,2,2,,,,,5,Atlanta Falcons,atlanta-falcons
Jake Slaughter,IOL,5,5,4,3.6,4.0,3,4,,,,,5,Cincinnati Bengals,cincinnati-bengals
Jeff Caldwell,WR,5,5,5,5.0,5.0,4,6,,,,,5,Cincinnati Bengals,cincinnati-bengals
